song_id,line
46,"Малый успех, скажем, твоё имя у всех на уме"
46,Даже твой друг скорее покажет фак в след
46,"Кто продает дурь, кто нюхает меф"
46,Но стаду важно как ты одет 
46,Либо был дом в другой стране
46,Малый успех — тебя будто бы бросили к змеям
46,Дай пару лет и проверим кто из вас друг и кому я верю
46,Драгоценный камень на шее тянется вниз
46,Дура променяла ценники на свою жизнь
46,"Малая не врубается — финиш рядом, он тут"
46,Ведь для кого-то умер мой стиль
46,"Лицо на ноль, тук-тук, ты кто"
46,"От дома до падоса, от блока да благодатного дома"
46,"Вижу путь, но ты его не перегородил"
46,"Кто же тебя, глупого, такого породил"
46,"Кто тебе внушил, что у нас одни пути"
46,"У, мне так нелепо это наблюдать"
46,Маленькие дети в теле молодых дядь
46,В школе проходили мы это лет пять назад
46,"Нет путей назад, если правит азарт"
46,"Шаришь, у меня глаза и в Питере, и в Москоу"
46,"Кто-то лает в спину, ну а кто-то думал мозгом"
46,"Сука верит звездам, а шалава их наброскам"
46,"Не нужна фанатка, если там одни доски"
46,Твои пацаны не отвечают за слова
46,"Ссылаясь на дела мои, мол, я проигнорю"
46,"Но видишь ли, когда мы за кулисами"
46,Ты прячешь своё тело в коридоров
47,"Все те фразы, типа, сделай себя сам"
47,"Дорогой дневник, я сделал куклу Вуду "
47,"Это мой двойник, зовут его Иуда "
47,"Все те фразы, типа сделал себя сам"
47,"Обретут другую форму, ведь я сотворил врага"
47,"Мне все мало связей, грязи в жизни "
47,"Они поголовно говорят, что Вова занят"
47,"Не поднимаю телефон, я вне сети "
47,Фаталисты выпьют полстакана за меня 
47,"Я голос поколения — того, где два нуля"
47,Я жму на газ в пол
47,Где Вова — там дом 
47,"Любимой музыки, что ты не выкупишь"
48,Мы танцуем вальс под стоны блюза
48,Мы танцуем классику не на три трети
48,Я раздел тебя глазами — мы уже не дети
48,"За руку держу, типа, искренне любим"
48,"Хищный взгляд не прячь, мы голодные люди"
48,"Лучше шли меня подальше, шли меня и верь"
48,Ты не знаешь какой во мне спит зверь
48,"Зови меня Париж. Эй, че ты не спишь"
48,"Интеллигент, а в душе пьяный движ"
48,"Берегу свой лик, но во мне спит зверь"
48,"Мокрые ладони, в край наглая морда"
48,Ну как отличить друга от идиота
48,"Не быть, а казаться — гнилая работа"
48,Гниль — это мой стиль. Сотни тысяч миль
48,"Не буди во мне того, кого ты разбудила"
48,"Я не выищу мишень, ты особый индивид"
48,"За то, каких скрывает демонов мой лик"
48,В мире животных труп не опознан
48,"Если снится сон, то сон неосознан"
48,"Мам, прости, Вова будет очень поздно"
48,Я будто Париж с ног до головы
48,За костюмом Луи-Ви себя не утаишь
48,"Детка, зови бэд боя в Париж"
48,"Вспомни о плёнке, она не вечная"
48,Будто удары в печень — жизнь поломана
48,"Мой голос сорван, на то есть причины"
